Location ID,Showroom Name,City,Country,Pincode,Coordinates
1,Magnolia Mall,New Delhi,India,110001,"28.6139,77.209"
2,Pacific Plaza,Mumbai,India,400001,"19.076,72.8777"
3,Golden Tower,Kolkata,India,700001,"22.5726,88.3639"
4,Sapphire Square,Chennai,India,600001,"13.0827,80.2707"
5,Diamond Arcade,Bengaluru,India,560001,"12.9716,77.5946"
6,Sunshine Center,Hyderabad,India,500001,"17.385,78.4867"
7,Royal Court,Pune,India,411001,"18.5204,73.8567"
8,Platinum Plaza,Ahmedabad,India,380001,"23.0225,72.5714"
9,Pearl Palace,Jaipur,India,302001,"26.9124,75.7873"
10,Crystal Complex,Lucknow,India,226001,"26.8467,80.9462"
11,Empire Estate,Chandigarh,India,160017,"30.7333,76.7794"
12,Silver Street,Indore,India,452001,"22.7196,75.8577"
13,Ruby Mall,Patna,India,800001,"25.5941,85.1376"
14,Jade Junction,Kochi,India,682001,"9.9312,76.2673"
15,Opal Outlet,Jaipur,India,302001,"26.9124,75.7873"
16,Crystal Castle,Bhopal,India,462001,"23.2599,77.4126"
17,Sapphire Street,Visakhapatnam,India,530001,"17.6868,83.2185"
